airline,year,delay_type,avg_minutes
Alaska Airlines Inc,2019,Carrier,2.526
Alaska Airlines Inc,2022,Carrier,3.302
Alaska Airlines Inc,2023,Carrier,3.214
Allegiant Air,2019,Carrier,4.716
Allegiant Air,2022,Carrier,6.928
Allegiant Air,2023,Carrier,6.968
American Airlines Inc,2019,Carrier,4.652
American Airlines Inc,2022,Carrier,6.344
American Airlines Inc,2023,Carrier,7.579
Delta Air Lines Inc,2019,Carrier,3.553
Delta Air Lines Inc,2022,Carrier,5.46
Delta Air Lines Inc,2023,Carrier,7.096
Endeavor Air Inc,2019,Carrier,3.282
Endeavor Air Inc,2022,Carrier,4.379
Endeavor Air Inc,2023,Carrier,3.789
Envoy Air,2019,Carrier,3.124
Envoy Air,2022,Carrier,3.066
Envoy Air,2023,Carrier,2.947
ExpressJet Airlines LLC d/b/a aha!,2019,Carrier,6.735
Frontier Airlines Inc,2019,Carrier,4.815
Frontier Airlines Inc,2022,Carrier,7.731
Frontier Airlines Inc,2023,Carrier,8.757
Hawaiian Airlines Inc,2019,Carrier,2.918
Hawaiian Airlines Inc,2022,Carrier,5.699
Hawaiian Airlines Inc,2023,Carrier,7.173
Horizon Air,2022,Carrier,2.931
JetBlue Airways,2019,Carrier,6.91
JetBlue Airways,2022,Carrier,11.173
JetBlue Airways,2023,Carrier,10.483
Mesa Airlines Inc,2019,Carrier,5.733
Mesa Airlines Inc,2022,Carrier,7.807
PSA Airlines Inc,2019,Carrier,3.47
PSA Airlines Inc,2022,Carrier,4.091
PSA Airlines Inc,2023,Carrier,3.933
Republic Airline,2019,Carrier,2.749
Republic Airline,2022,Carrier,3.954
Republic Airline,2023,Carrier,2.584
SkyWest Airlines Inc,2019,Carrier,5.421
SkyWest Airlines Inc,2022,Carrier,8.331
SkyWest Airlines Inc,2023,Carrier,7.256
Southwest Airlines Co,2019,Carrier,3.05
Southwest Airlines Co,2022,Carrier,4.365
Southwest Airlines Co,2023,Carrier,3.241
Spirit Air Lines,2019,Carrier,2.913
Spirit Air Lines,2022,Carrier,4.863
Spirit Air Lines,2023,Carrier,7.145
United Air Lines Inc,2019,Carrier,3.305
United Air Lines Inc,2022,Carrier,4.763
United Air Lines Inc,2023,Carrier,5.945
Alaska Airlines Inc,2019,Weather,0.236
Alaska Airlines Inc,2022,Weather,0.48
Alaska Airlines Inc,2023,Weather,0.403
Allegiant Air,2019,Weather,1.281
Allegiant Air,2022,Weather,1.287
Allegiant Air,2023,Weather,2.56
American Airlines Inc,2019,Weather,0.773
American Airlines Inc,2022,Weather,0.841
American Airlines Inc,2023,Weather,1.041
Delta Air Lines Inc,2019,Weather,0.689
Delta Air Lines Inc,2022,Weather,0.477
Delta Air Lines Inc,2023,Weather,0.778
Endeavor Air Inc,2019,Weather,0.599
Endeavor Air Inc,2022,Weather,0.808
Endeavor Air Inc,2023,Weather,1.123
Envoy Air,2019,Weather,1.142
Envoy Air,2022,Weather,1.385
Envoy Air,2023,Weather,1.186
ExpressJet Airlines LLC d/b/a aha!,2019,Weather,1.098
Frontier Airlines Inc,2019,Weather,0.294
Frontier Airlines Inc,2022,Weather,0.554
Frontier Airlines Inc,2023,Weather,0.76
Hawaiian Airlines Inc,2019,Weather,0.152
Hawaiian Airlines Inc,2022,Weather,0.395
Hawaiian Airlines Inc,2023,Weather,0.269
Horizon Air,2022,Weather,0.676
JetBlue Airways,2019,Weather,0.493
JetBlue Airways,2022,Weather,0.574
JetBlue Airways,2023,Weather,0.776
Mesa Airlines Inc,2019,Weather,1.561
Mesa Airlines Inc,2022,Weather,1.046
PSA Airlines Inc,2019,Weather,0.744
PSA Airlines Inc,2022,Weather,1.021
PSA Airlines Inc,2023,Weather,1.402
Republic Airline,2019,Weather,0.7
Republic Airline,2022,Weather,0.654
Republic Airline,2023,Weather,0.762
SkyWest Airlines Inc,2019,Weather,1.295
SkyWest Airlines Inc,2022,Weather,1.802
SkyWest Airlines Inc,2023,Weather,2.078
Southwest Airlines Co,2019,Weather,0.259
Southwest Airlines Co,2022,Weather,0.261
Southwest Airlines Co,2023,Weather,0.312
Spirit Air Lines,2019,Weather,0.585
Spirit Air Lines,2022,Weather,0.746
Spirit Air Lines,2023,Weather,1.173
United Air Lines Inc,2019,Weather,0.96
United Air Lines Inc,2022,Weather,0.66
United Air Lines Inc,2023,Weather,0.709
Alaska Airlines Inc,2019,NAS / Air Traffic,3.407
Alaska Airlines Inc,2022,NAS / Air Traffic,2.779
Alaska Airlines Inc,2023,NAS / Air Traffic,2.914
Allegiant Air,2019,NAS / Air Traffic,1.973
Allegiant Air,2022,NAS / Air Traffic,4.626
Allegiant Air,2023,NAS / Air Traffic,5.35
American Airlines Inc,2019,NAS / Air Traffic,3.127
American Airlines Inc,2022,NAS / Air Traffic,2.491
American Airlines Inc,2023,NAS / Air Traffic,3.007
Delta Air Lines Inc,2019,NAS / Air Traffic,2.742
Delta Air Lines Inc,2022,NAS / Air Traffic,1.871
Delta Air Lines Inc,2023,NAS / Air Traffic,2.412
Endeavor Air Inc,2019,NAS / Air Traffic,3.606
Endeavor Air Inc,2022,NAS / Air Traffic,3.261
Endeavor Air Inc,2023,NAS / Air Traffic,2.962
Envoy Air,2019,NAS / Air Traffic,3.53
Envoy Air,2022,NAS / Air Traffic,2.224
Envoy Air,2023,NAS / Air Traffic,2.835
ExpressJet Airlines LLC d/b/a aha!,2019,NAS / Air Traffic,8.35
Frontier Airlines Inc,2019,NAS / Air Traffic,4.357
Frontier Airlines Inc,2022,NAS / Air Traffic,4.762
Frontier Airlines Inc,2023,NAS / Air Traffic,5.242
Hawaiian Airlines Inc,2019,NAS / Air Traffic,0.075
Hawaiian Airlines Inc,2022,NAS / Air Traffic,0.251
Hawaiian Airlines Inc,2023,NAS / Air Traffic,0.837
Horizon Air,2022,NAS / Air Traffic,1.441
JetBlue Airways,2019,NAS / Air Traffic,4.641
JetBlue Airways,2022,NAS / Air Traffic,4.589
JetBlue Airways,2023,NAS / Air Traffic,4.73
Mesa Airlines Inc,2019,NAS / Air Traffic,2.353
Mesa Airlines Inc,2022,NAS / Air Traffic,2.085
PSA Airlines Inc,2019,NAS / Air Traffic,2.178
PSA Airlines Inc,2022,NAS / Air Traffic,2.416
PSA Airlines Inc,2023,NAS / Air Traffic,2.366
Republic Airline,2019,NAS / Air Traffic,5.046
Republic Airline,2022,NAS / Air Traffic,3.862
Republic Airline,2023,NAS / Air Traffic,3.623
SkyWest Airlines Inc,2019,NAS / Air Traffic,2.904
SkyWest Airlines Inc,2022,NAS / Air Traffic,0.425
SkyWest Airlines Inc,2023,NAS / Air Traffic,0.812
Southwest Airlines Co,2019,NAS / Air Traffic,1.529
Southwest Airlines Co,2022,NAS / Air Traffic,1.644
