origin,total_flights,delayed_flights,avg_delay_mins,delay_rate,airport_name,city,state,latitude,longitude,airport_type
ABE,1175,171,7.9,0.14553191489361703,Lehigh Valley International Airport,Allentown/Bethlehem,PA,40.651773,-75.442797,medium_airport
ABI,468,83,11.4,0.17735042735042736,Abilene Regional Airport,Abilene,TX,32.4113006592,-99.6819000244,medium_airport
ABQ,5934,1106,11.1,0.18638355240984159,Albuquerque International Sunport,Albuquerque,NM,35.039976,-106.608925,large_airport
ABR,195,23,19.91,0.11794871794871795,Aberdeen Regional Airport,Aberdeen,SD,45.449100494384766,-98.42179870605467,medium_airport
ABY,246,31,5.62,0.12601626016260162,Southwest Georgia Regional Airport,Albany,GA,31.532946,-84.196215,medium_airport
ACK,386,103,27.69,0.266839378238342,Nantucket Memorial Airport,Nantucket,MA,41.25310135,-70.06020355,medium_airport
ACT,428,68,11.14,0.1588785046728972,Waco Regional Airport,Waco,TX,31.611299514770508,-97.23049926757812,medium_airport
ACV,528,82,18.5,0.1553030303030303,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,CA,40.978101,-124.109,medium_airport
ACY,831,133,5.99,0.16004813477737664,Atlantic City International Airport,Atlantic City,NJ,39.456201,-74.577511,medium_airport
ADK,23,7,2.04,0.30434782608695654,Adak Airport,Adak,AK,51.883564,-176.642783,medium_airport
ADQ,204,26,-1.77,0.12745098039215685,Kodiak Airport,Kodiak,AK,57.75,-152.4940033,medium_airport
AEX,705,97,7.16,0.1375886524822695,Alexandria International Airport,Alexandria,LA,31.325828,-92.546702,medium_airport
AGS,1109,191,10.23,0.17222723174030657,Augusta Regional At Bush Field,Augusta,GA,33.3699,-81.9645,medium_airport
AKN,79,20,4.09,0.25316455696202533,King Salmon Airport,King Salmon,AK,58.677845,-156.651965,medium_airport
ALB,3172,580,11.3,0.1828499369482976,Albany International Airport,Albany,NY,42.748299,-73.801697,large_airport
ALO,150,17,1.8,0.11333333333333333,Waterloo Regional Airport,Waterloo,IA,42.55709838867188,-92.40029907226562,medium_airport
ALS,23,3,1.83,0.13043478260869565,San Luis Valley Regional Airport/Bergman Field,Alamosa,CO,37.434898,-105.866997,medium_airport
ALW,70,4,0.59,0.05714285714285714,Walla Walla Regional Airport,Walla Walla,WA,46.09489822,-118.288002,medium_airport
AMA,1331,212,12.13,0.1592787377911345,Rick Husband Amarillo International Airport,Amarillo,TX,35.217857,-101.706444,medium_airport
ANC,5163,666,3.46,0.12899477048227775,Ted Stevens Anchorage International Airport,Anchorage,AK,61.179004,-149.992561,large_airport
APN,152,28,10.26,0.18421052631578946,Alpena County Regional Airport,Alpena,MI,45.0780983,-83.56030273,medium_airport
