origin,dest,total_flights,delayed_flights,avg_delay_mins,avg_distance,delay_rate,origin_lat,origin_lon,origin_city,origin_state,dest_lat,dest_lon,dest_city,dest_state
ABE,ATL,267,36,12.78,692.0,0.1348314606741573,40.651773,-75.442797,Allentown/Bethlehem,PA,33.6367,-84.428101,Atlanta,GA
ABE,CLT,276,34,2.3,481.0,0.12318840579710146,40.651773,-75.442797,Allentown/Bethlehem,PA,35.2140007019043,-80.94309997558594,Charlotte,NC
ABE,DTW,147,26,9.86,425.0,0.17687074829931973,40.651773,-75.442797,Allentown/Bethlehem,PA,42.21377,-83.353786,Detroit,MI
ABE,ORD,159,26,4.83,654.3962264150944,0.16352201257861634,40.651773,-75.442797,Allentown/Bethlehem,PA,41.9786,-87.9048,Chicago,IL
ABE,PIE,59,10,17.86,970.0,0.1694915254237288,40.651773,-75.442797,Allentown/Bethlehem,PA,27.9102,-82.687401,Pinellas Park,FL
ABE,SFB,115,13,8.13,882.0,0.11304347826086956,40.651773,-75.442797,Allentown/Bethlehem,PA,28.774277,-81.234626,Orlando,FL
ABI,DFW,468,83,11.4,158.0,0.17735042735042736,32.4113006592,-99.6819000244,Abilene,TX,32.896801,-97.038002,Dallas-Fort Worth,TX
ABQ,ATL,243,21,1.98,1269.0,0.08641975308641975,35.039976,-106.608925,Albuquerque,NM,33.6367,-84.428101,Atlanta,GA
ABQ,AUS,200,43,7.96,619.0,0.215,35.039976,-106.608925,Albuquerque,NM,30.197535,-97.662015,Austin,TX
ABQ,BUR,59,16,16.34,672.0,0.2711864406779661,35.039976,-106.608925,Albuquerque,NM,34.202834,-118.35805,Burbank,CA
ABQ,BWI,80,12,7.01,1670.0,0.15,35.039976,-106.608925,Albuquerque,NM,39.1754,-76.668297,Baltimore,MD
ABQ,DAL,423,86,10.52,580.0,0.2033096926713948,35.039976,-106.608925,Albuquerque,NM,32.844776,-96.847653,Dallas,TX
ABQ,DEN,640,135,12.73,349.0,0.2109375,35.039976,-106.608925,Albuquerque,NM,39.860027,-104.673792,Denver,CO
ABQ,DFW,659,141,15.96,569.0,0.21396054628224584,35.039976,-106.608925,Albuquerque,NM,32.896801,-97.038002,Dallas-Fort Worth,TX
ABQ,HOU,216,34,9.32,759.0,0.1574074074074074,35.039976,-106.608925,Albuquerque,NM,29.645336,-95.276812,Houston,TX
ABQ,IAH,264,42,8.09,744.0,0.1590909090909091,35.039976,-106.608925,Albuquerque,NM,29.9844,-95.3414,Houston,TX
ABQ,JFK,81,35,60.59,1826.0,0.43209876543209874,35.039976,-106.608925,Albuquerque,NM,40.639447,-73.779317,New York,NY
ABQ,LAS,384,107,16.08,486.0,0.2786458333333333,35.039976,-106.608925,Albuquerque,NM,36.083361,-115.151817,Las Vegas,NV
ABQ,LAX,509,72,6.09,677.0,0.14145383104125736,35.039976,-106.608925,Albuquerque,NM,33.942501,-118.407997,Los Angeles,CA
ABQ,MCI,54,18,17.46,718.0,0.3333333333333333,35.039976,-106.608925,Albuquerque,NM,39.301699,-94.713893,Kansas City,MO
ABQ,MDW,139,34,11.54,1121.0,0.2446043165467626,35.039976,-106.608925,Albuquerque,NM,41.785999,-87.752403,Chicago,IL
ABQ,OAK,122,18,7.66,889.0,0.14754098360655737,35.039976,-106.608925,Albuquerque,NM,37.720085,-122.221184,Oakland,CA
ABQ,ORD,265,40,8.99,1118.0,0.1509433962264151,35.039976,-106.608925,Albuquerque,NM,41.9786,-87.9048,Chicago,IL
ABQ,PDX,55,7,0.05,1111.0,0.12727272727272726,35.039976,-106.608925,Albuquerque,NM,45.588699,-122.598,Portland,OR
ABQ,PHX,822,127,7.63,328.0,0.15450121654501217,35.039976,-106.608925,Albuquerque,NM,33.435302,-112.005905,Phoenix,AZ
ABQ,SAN,178,28,10.8,628.0,0.15730337078651685,35.039976,-106.608925,Albuquerque,NM,32.733601,-117.190002,San Diego,CA
ABQ,SEA,117,26,8.0,1180.0,0.2222222222222222,35.039976,-106.608925,Albuquerque,NM,47.447943,-122.310276,Seattle,WA
