dep_hour,day_of_week,month,season,total_flights,delayed_flights,avg_delay_mins,delay_rate,day_name,season_name,month_name
0,0,1,1,42,19,24.0,0.4523809523809524,Monday,Winter,Jan
0,0,2,1,34,6,5.53,0.17647058823529413,Monday,Winter,Feb
0,0,3,2,60,20,14.92,0.3333333333333333,Monday,Spring,Mar
0,0,4,2,44,11,32.93,0.25,Monday,Spring,Apr
0,0,5,2,64,17,9.44,0.265625,Monday,Spring,May
0,0,6,3,64,18,14.61,0.28125,Monday,Summer,Jun
0,0,7,3,71,27,16.55,0.38028169014084506,Monday,Summer,Jul
0,0,8,3,50,13,10.4,0.26,Monday,Summer,Aug
0,0,9,4,34,2,-0.76,0.058823529411764705,Monday,Fall,Sep
0,0,10,4,26,4,4.12,0.15384615384615385,Monday,Fall,Oct
0,0,11,4,32,10,8.62,0.3125,Monday,Fall,Nov
0,0,12,1,49,14,40.82,0.2857142857142857,Monday,Winter,Dec
0,1,1,1,58,13,6.95,0.22413793103448276,Tuesday,Winter,Jan
0,1,2,1,39,11,58.82,0.28205128205128205,Tuesday,Winter,Feb
0,1,3,2,52,14,10.98,0.2692307692307692,Tuesday,Spring,Mar
0,1,4,2,52,18,13.33,0.34615384615384615,Tuesday,Spring,Apr
0,1,5,2,45,14,15.47,0.3111111111111111,Tuesday,Spring,May
0,1,6,3,51,17,14.31,0.3333333333333333,Tuesday,Summer,Jun
0,1,7,3,53,14,21.98,0.2641509433962264,Tuesday,Summer,Jul
0,1,8,3,50,8,4.42,0.16,Tuesday,Summer,Aug
0,1,9,4,28,4,14.86,0.14285714285714285,Tuesday,Fall,Sep
0,1,10,4,22,7,13.18,0.3181818181818182,Tuesday,Fall,Oct
0,1,11,4,30,10,22.57,0.3333333333333333,Tuesday,Fall,Nov
0,1,12,1,33,6,10.12,0.18181818181818182,Tuesday,Winter,Dec
0,2,1,1,46,7,5.65,0.15217391304347827,Wednesday,Winter,Jan
0,2,2,1,35,9,31.11,0.2571428571428571,Wednesday,Winter,Feb
0,2,3,2,56,13,6.77,0.23214285714285715,Wednesday,Spring,Mar
0,2,4,2,41,3,-1.51,0.07317073170731707,Wednesday,Spring,Apr
0,2,5,2,59,6,3.2,0.1016949152542373,Wednesday,Spring,May
0,2,6,3,44,15,21.16,0.3409090909090909,Wednesday,Summer,Jun
0,2,7,3,43,10,6.67,0.23255813953488372,Wednesday,Summer,Jul
0,2,8,3,53,8,21.34,0.1509433962264151,Wednesday,Summer,Aug
0,2,9,4,17,0,-3.59,0.0,Wednesday,Fall,Sep
0,2,10,4,23,3,-0.04,0.13043478260869565,Wednesday,Fall,Oct
0,2,11,4,35,10,14.74,0.2857142857142857,Wednesday,Fall,Nov
0,2,12,1,35,9,9.23,0.2571428571428571,Wednesday,Winter,Dec
0,3,1,1,35,3,-2.66,0.08571428571428572,Thursday,Winter,Jan
0,3,2,1,43,5,0.67,0.11627906976744186,Thursday,Winter,Feb
0,3,3,2,46,7,20.48,0.15217391304347827,Thursday,Spring,Mar
0,3,4,2,55,11,9.71,0.2,Thursday,Spring,Apr
0,3,5,2,57,6,0.21,0.10526315789473684,Thursday,Spring,May
0,3,6,3,62,19,12.82,0.3064516129032258,Thursday,Summer,Jun
0,3,7,3,51,7,5.51,0.13725490196078433,Thursday,Summer,Jul
0,3,8,3,61,11,13.39,0.18032786885245902,Thursday,Summer,Aug
0,3,9,4,33,5,4.27,0.15151515151515152,Thursday,Fall,Sep
0,3,10,4,27,7,13.11,0.25925925925925924,Thursday,Fall,Oct
0,3,11,4,27,3,30.81,0.1111111111111111,Thursday,Fall,Nov
0,3,12,1,33,8,15.21,0.24242424242424243,Thursday,Winter,Dec
0,4,1,1,50,11,20.8,0.22,Friday,Winter,Jan
0,4,2,1,41,10,4.93,0.24390243902439024,Friday,Winter,Feb
0,4,3,2,63,11,5.25,0.1746031746031746,Friday,Spring,Mar
0,4,4,2,50,9,6.3,0.18,Friday,Spring,Apr
0,4,5,2,55,13,6.42,0.23636363636363636,Friday,Spring,May
0,4,6,3,73,27,16.37,0.3698630136986301,Friday,Summer,Jun
0,4,7,3,52,15,7.04,0.28846153846153844,Friday,Summer,Jul
0,4,8,3,64,14,8.97,0.21875,Friday,Summer,Aug
0,4,9,4,26,3,2.19,0.11538461538461539,Friday,Fall,Sep
0,4,10,4,16,5,9.81,0.3125,Friday,Fall,Oct
0,4,11,4,25,5,6.36,0.2,Friday,Fall,Nov
0,4,12,1,30,10,24.07,0.3333333333333333,Friday,Winter,Dec
0,5,1,1,39,4,3.0,0.10256410256410256,Saturday,Winter,Jan
0,5,2,1,38,12,47.82,0.3157894736842105,Saturday,Winter,Feb
0,5,3,2,60,13,8.47,0.21666666666666667,Saturday,Spring,Mar
0,5,4,2,51,12,12.96,0.23529411764705882,Saturday,Spring,Apr
0,5,5,2,48,14,39.0,0.2916666666666667,Saturday,Spring,May
0,5,6,3,51,17,15.8,0.3333333333333333,Saturday,Summer,Jun
0,5,7,3,51,20,9.76,0.39215686274509803,Saturday,Summer,Jul
0,5,8,3,50,10,5.04,0.2,Saturday,Summer,Aug
0,5,9,4,27,5,10.3,0.18518518518518517,Saturday,Fall,Sep
0,5,10,4,22,4,11.36,0.18181818181818182,Saturday,Fall,Oct
0,5,11,4,43,12,14.28,0.27906976744186046,Saturday,Fall,Nov
